league,season,div,date,time,hometeam,awayteam,fulltimehomegoals,fulltimeawaygoals,fulltimeresult,halftimehalfgoals,halftimehomegoals,halftimeresult,referee,homeshots,awayshots,homeshotontarget,awayshotsontarget,homefouls,awayfouls,homecorners,awaycorners,homeyellowcards,awayyellowcards,homeredcards,awayredcards,kickoff_hour,time_of_day,total_goals,goal_difference,total_cards,shot_accuracy_home,shot_accuracy_away,total_shots,total_shots_on_target,total_fouls,total_corners
Bundesliga,2022-2023,D1,2022-08-27,14:30,Hertha,Dortmund,0,1,A,0.0,1.0,A,Unknown,12.0,24.0,3.0,7.0,8.0,9.0,6.0,10.0,1.0,0.0,0.0,0.0,14,Afternoon,1,1,1.0,0.25,0.2916666666666667,36.0,10.0,17.0,16.0
Bundesliga,2022-2023,D1,2022-08-27,14:30,Hoffenheim,Augsburg,1,0,H,1.0,0.0,H,Unknown,24.0,12.0,6.0,1.0,14.0,9.0,4.0,6.0,1.0,1.0,0.0,0.0,14,Afternoon,1,1,2.0,0.25,0.08333333333333333,36.0,7.0,23.0,10.0
Bundesliga,2022-2023,D1,2022-08-27,14:30,Mainz,Leverkusen,0,3,A,0.0,3.0,A,Unknown,17.0,7.0,3.0,5.0,10.0,12.0,3.0,4.0,1.0,6.0,0.0,2.0,14,Afternoon,3,3,9.0,0.17647058823529413,0.7142857142857143,24.0,8.0,22.0,7.0
Bundesliga,2022-2023,D1,2022-08-27,14:30,RB Leipzig,Wolfsburg,2,0,H,1.0,0.0,H,Unknown,16.0,9.0,7.0,4.0,20.0,15.0,8.0,4.0,3.0,3.0,0.0,0.0,14,Afternoon,2,2,6.0,0.4375,0.4444444444444444,25.0,11.0,35.0,12.0
Bundesliga,2022-2023,D1,2022-08-27,14:30,Schalke 04,Union Berlin,1,6,A,1.0,3.0,A,Unknown,12.0,12.0,4.0,7.0,9.0,11.0,8.0,2.0,1.0,0.0,0.0,0.0,14,Afternoon,7,5,1.0,0.3333333333333333,0.5833333333333334,24.0,11.0,20.0,10.0
Bundesliga,2022-2023,D1,2022-08-27,17:30,Bayern Munich,M'gladbach,1,1,D,0.0,1.0,A,Unknown,35.0,5.0,20.0,3.0,14.0,7.0,14.0,1.0,4.0,2.0,0.0,0.0,17,Evening / Night,2,0,6.0,0.5714285714285714,0.6,40.0,23.0,21.0,15.0
Bundesliga,2022-2023,D1,2022-08-28,14:30,FC Koln,Stuttgart,0,0,D,0.0,0.0,D,Unknown,6.0,13.0,2.0,5.0,14.0,12.0,6.0,8.0,2.0,2.0,0.0,1.0,14,Afternoon,0,0,5.0,0.3333333333333333,0.38461538461538464,19.0,7.0,26.0,14.0
Bundesliga,2022-2023,D1,2022-08-28,16:30,Werder Bremen,Ein Frankfurt,3,4,A,2.0,3.0,A,Unknown,10.0,12.0,4.0,7.0,17.0,17.0,5.0,7.0,1.0,3.0,0.0,0.0,16,Afternoon,7,1,4.0,0.4,0.5833333333333334,22.0,11.0,34.0,12.0
Bundesliga,2022-2023,D1,2022-09-02,19:30,Dortmund,Hoffenheim,1,0,H,1.0,0.0,H,Unknown,16.0,7.0,5.0,2.0,14.0,15.0,5.0,8.0,3.0,4.0,0.0,0.0,19,Evening / Night,1,1,7.0,0.3125,0.2857142857142857,23.0,7.0,29.0,13.0
Bundesliga,2022-2023,D1,2022-09-03,14:30,Bochum,Werder Bremen,0,2,A,0.0,0.0,D,Unknown,19.0,16.0,6.0,6.0,15.0,10.0,7.0,3.0,2.0,2.0,0.0,0.0,14,Afternoon,2,2,4.0,0.3157894736842105,0.375,35.0,12.0,25.0,10.0
Bundesliga,2022-2023,D1,2022-09-03,14:30,Leverkusen,Freiburg,2,3,A,1.0,0.0,H,Unknown,15.0,5.0,6.0,3.0,15.0,10.0,8.0,4.0,2.0,2.0,0.0,0.0,14,Afternoon,5,1,4.0,0.4,0.6,20.0,9.0,25.0,12.0
