--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
417,Harrison Reed,eng ENG,MF,Fulham,30,1995,7,1,94,1.0,1,0,1,1,0,0,0,0,0.96,0.00,0.96,0.96,0.96,Matches,803ae100
418,Tijjani Reijnders,nl NED,MF,Manchester City,27,1998,28,19,1631,18.1,5,2,7,5,0,0,2,0,0.28,0.11,0.39,0.28,0.39,Matches,afb61630
419,Chadi Riad,ma MAR,DF,Crystal Palace,22,2003,9,6,552,6.1,0,1,1,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches,b3b9b8b8
420,Declan Rice,eng ENG,MF,Arsenal,26,1999,36,35,3094,34.4,4,5,9,4,0,0,3,0,0.12,0.15,0.26,0.12,0.26,Matches,1c7012b8
421,Chris Richards,us USA,DF,Crystal Palace,25,2000,33,31,2827,31.4,1,0,1,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,Matches,0a3d6d2b
422,Richarlison,br BRA,FWMF,Tottenham,28,1997,32,20,1964,21.8,11,4,15,11,0,0,5,0,0.50,0.18,0.69,0.50,0.69,Matches,fa031b34
423,Chris Rigg,eng ENG,MF,Sunderland,18,2007,18,11,761,8.5,1,1,2,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24,Matches,35741fe2
424,Patrick Roberts,eng ENG,FWMF,Sunderland,28,1997,1,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,59d93937
425,Andy Robertson,sct SCO,DF,Liverpool,31,1994,24,11,1176,13.1,1,0,1,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,Matches,2e4f5f03
426,Antonee Robinson,us USA,DFMF,Fulham,27,1997,22,17,1492,16.6,1,0,1,0,1,1,5,0,0.06,0.00,0.06,0.00,0.00,Matches,289601e6
427,Kaden Rodney,eng ENG,DFMF,Crystal Palace,20,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,49375cdd
428,Joe Rodon,wls WAL,DF,Leeds United,27,1997,35,33,2951,32.8,2,0,2,2,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,8d62d31a
429,Rodri,es ESP,MF,Manchester City,29,1996,21,17,1511,16.8,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,6434f10d
430,Guido Rodríguez,ar ARG,MF,West Ham,31,1994,6,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,34e393f2
431,Robin Roefs,nl NED,GK,Sunderland,22,2003,35,35,3150,35.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,349fa918
432,Morgan Rogers,eng ENG,MF,Aston Villa,23,2002,37,37,3280,36.4,10,6,16,10,0,0,7,0,0.27,0.16,0.44,0.27,0.44,Matches,2e5915f1
433,Merlin Röhl,de GER,MF,Everton,23,2002,16,6,682,7.6,1,0,1,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,Matches,1f2c7b55
434,Cristian Romero,ar ARG,DF,Tottenham,27,1998,23,22,1868,20.8,4,1,5,4,0,0,11,2,0.19,0.05,0.24,0.19,0.24,Matches,a3d94a58
435,James Rowswell,eng ENG,DF,Tottenham,19,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,419147f7
436,Georginio Rutter,fr FRA,MFFW,Brighton,23,2002,32,20,1786,19.8,3,3,6,3,0,0,2,0,0.15,0.15,0.30,0.15,0.30,Matches,c64c01fc
437,José Sá,pt POR,GK,Wolves,32,1993,23,23,2070,23.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,903b6e8b
438,Noah Sadiki,cd COD,MF,Sunderland,20,2004,33,33,2889,32.1,0,1,1,0,0,0,9,0,0.00,0.03,0.03,0.00,0.03,Matches,645481cc
439,Bukayo Saka,eng ENG,FWMF,Arsenal,23,2001,31,25,2222,24.7,7,5,12,6,1,1,2,0,0.28,0.20,0.49,0.24,0.45,Matches,bc7dc64d
440,Mohamed Salah,eg EGY,MF,Liverpool,33,1992,27,23,2146,23.8,7,7,14,6,1,1,1,0,0.29,0.29,0.59,0.25,0.55,Matches,e342ad68
441,William Saliba,fr FRA,DF,Arsenal,24,2001,31,30,2614,29.0,1,0,1,1,0,0,2,0,0.03,0.00,0.03,0.03,0.03,Matches,972aeb2a
442,Robert Sánchez,es ESP,GK,Chelsea,27,1997,35,35,3039,33.8,0,1,1,0,0,0,3,1,0.00,0.03,0.03,0.00,0.03,Matches,6a713852
443,Jadon Sancho,eng ENG,MF,Aston Villa,25,2000,23,9,876,9.7,0,2,2,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,Matches,dbf053da
444,Ibrahim Sangaré,ci CIV,MF,Nottingham,27,1997,28,25,2075,23.1,2,2,4,2,0,0,5,0,0.09,0.09,0.17,0.09,0.17,Matches,bced0375
445,Andrey Santos,br BRA,MF,Chelsea,21,2004,27,13,1260,14.0,1,0,1,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matches,dd745366
446,Ismaila Sarr,sn SEN,MF,Crystal Palace,27,1998,28,24,2174,24.2,9,1,10,6,3,3,2,0,0.37,0.04,0.41,0.25,0.29,Matches,bfdb33aa
447,Mamadou Sarr,sn SEN,DF,Chelsea,19,2005,3,1,102,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,61f80c89
448,Sávio,br BRA,MF,Manchester City,21,2004,24,7,833,9.3,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches,fe6e7156
449,Nicolò Savona,it ITA,DF,Nottingham,22,2003,14,11,1028,11.4,2,0,2,2,0,0,2,0,0.18,0.00,0.18,0.18,0.18,Matches,e041497d
450,Oliver Scarles,eng ENG,DFMF,West Ham,19,2005,13,9,659,7.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,242e5e6d
451,Dane Scarlett,eng ENG,FW,Tottenham,21,2004,2,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,21945a9e
452,Kevin Schade,de GER,MFFW,Brentford,23,2001,35,32,2745,30.5,8,3,11,8,0,1,6,1,0.26,0.10,0.36,0.26,0.36,Matches,52afb588
453,Fabian Schär,ch SUI,DF,Newcastle,33,1991,16,11,1091,12.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c8aa95da
454,Alex Scott,eng ENG,MF,Bournemouth,21,2003,37,34,2849,31.7,3,1,4,3,0,0,5,0,0.09,0.03,0.13,0.09,0.13,Matches,104d0bb8
