--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
539,Kamaldeen Sulemana,gh GHA,MFFW,Rennes,20,2002,14,2,326,3.6,1,0,1,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,Matches,a62f8bf1
540,Yuito Suzuki,jp JPN,FWMF,Strasbourg,20,2001,3,0,36,0.4,1,0,1,1,0,0,0,0,2.50,0.00,2.50,2.50,2.50,Matches,c25a7a2a
541,Issiaga Sylla,gn GUI,DF,Montpellier,28,1994,15,15,1305,14.5,1,3,4,1,0,0,0,0,0.07,0.21,0.28,0.07,0.28,Matches,b99bec05
542,Issiaga Sylla,gn GUI,DF,Toulouse,28,1994,17,16,1372,15.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,b99bec05
543,Nicolás Tagliafico,ar ARG,DFMF,Lyon,29,1992,34,34,2991,33.2,1,3,4,1,0,0,5,0,0.03,0.09,0.12,0.03,0.12,Matches,f0661424
544,Waniss Taibi,fr FRA,MF,Angers,20,2002,11,1,189,2.1,0,1,1,0,0,0,1,0,0.00,0.48,0.48,0.00,0.48,Matches,95192fe4
545,Flavien Tait,fr FRA,MF,Rennes,29,1993,30,19,1680,18.7,2,2,4,2,0,0,2,0,0.11,0.11,0.21,0.11,0.21,Matches,a0f9b535
546,Montassar Talbi,tn TUN,DF,Lorient,24,1998,38,38,3420,38.0,1,2,3,1,0,0,0,0,0.03,0.05,0.08,0.03,0.08,Matches,a4a44eb0
547,Thibault Tamas,fr FRA,DF,Montpellier,21,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4a0c6555
548,Florian Tardieu,fr FRA,MF,Troyes,30,1992,15,11,1009,11.2,3,0,3,0,3,3,2,0,0.27,0.00,0.27,0.00,0.00,Matches,ed39121c
549,Nuno Tavares,pt POR,MF,Marseille,22,2000,31,23,2349,26.1,6,0,6,6,0,0,6,1,0.23,0.00,0.23,0.23,0.23,Matches,a65c844b
550,Enzo Tchato,cm CMR,DF,Montpellier,19,2002,21,11,1096,12.2,1,1,2,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,Matches,7f783431
551,Martin Terrier,fr FRA,MFFW,Rennes,25,1997,16,16,1319,14.7,9,4,13,9,0,0,0,0,0.61,0.27,0.89,0.61,0.89,Matches,5148dcc5
552,Tetê,br BRA,FWMF,Lyon,22,2000,17,14,1107,12.3,6,2,8,6,0,0,3,0,0.49,0.16,0.65,0.49,0.65,Matches,7120a04d
553,Arthur Theate,be BEL,DF,Rennes,22,2000,35,35,3127,34.7,4,0,4,4,0,0,5,0,0.12,0.00,0.12,0.12,0.12,Matches,df8d6029
554,Sada Thioub,sn SEN,DFMF,Angers,27,1995,27,11,1060,11.8,1,2,3,1,0,0,3,0,0.08,0.17,0.25,0.08,0.25,Matches,f4bc42b1
555,Adrien Thomasson,fr FRA,MFFW,Lens,28,1993,20,16,1278,14.2,5,5,10,5,0,0,1,0,0.35,0.35,0.70,0.35,0.70,Matches,c76b7567
556,Adrien Thomasson,fr FRA,MFFW,Strasbourg,28,1993,15,10,937,10.4,0,2,2,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,Matches,c76b7567
557,Khéphren Thuram,fr FRA,MF,Nice,21,2001,35,30,2547,28.3,2,4,6,2,0,0,3,0,0.07,0.14,0.21,0.07,0.21,Matches,7d9397f8
558,Alexis Tibidi,fr FRA,MF,Troyes,18,2003,3,0,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ca6f4846
559,Jean-Clair Todibo,fr FRA,DF,Nice,22,1999,34,33,2870,31.9,0,0,0,0,0,0,4,2,0.00,0.00,0.00,0.00,0.00,Matches,88f130ed
560,Karl Toko Ekambi,cm CMR,MFFW,Rennes,29,1992,17,11,972,10.8,3,2,5,3,0,0,0,0,0.28,0.19,0.46,0.28,0.46,Matches,5ceba7fc
561,Karl Toko Ekambi,cm CMR,FWMF,Lyon,29,1992,19,15,1353,15.0,4,2,6,4,0,0,1,0,0.27,0.13,0.40,0.27,0.40,Matches,5ceba7fc
562,Corentin Tolisso,fr FRA,MF,Lyon,27,1994,30,25,2036,22.6,1,2,3,1,0,0,3,0,0.04,0.09,0.13,0.04,0.13,Matches,652d4c37
563,Birama Touré,ml MLI,MF,Auxerre,30,1992,38,38,3400,37.8,2,0,2,2,0,1,3,0,0.05,0.00,0.05,0.05,0.05,Matches,a4b798a9
564,Mo Touré,au AUS,FW,Reims,18,2004,3,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8ac64b4e
565,Souleymane Touré,fr FRA,DF,Marseille,19,2003,5,0,68,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,01fd01e8
