--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
533,Alen Sherri,al ALB,GK,Cagliari,26,1997,7,7,621,6.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eebf35b6
534,Eldor Shomurodov,uz UZB,FW,Roma,29,1995,27,11,1097,12.2,4,4,8,4,0,0,1,0,0.33,0.33,0.66,0.33,0.66,Matches,57469b2d
535,Benjamin Siegrist,ch SUI,GK,Genoa,32,1992,2,2,152,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,46912ffe
536,Éderson Silva,br BRA,MF,Atalanta,25,1999,37,32,2881,32.0,4,1,5,4,0,0,5,1,0.12,0.03,0.16,0.12,0.16,Matches,a9202def
537,Marco Silvestri,it ITA,GK,Empoli,33,1991,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0d422df7
538,Giovanni Simeone,ar ARG,FW,Napoli,29,1995,30,1,419,4.7,1,1,2,1,0,0,1,0,0.21,0.21,0.43,0.21,0.43,Matches,343c0d52
539,Łukasz Skorupski,pl POL,GK,Bologna,33,1991,27,27,2364,26.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ab4449d6
540,Ivan Smolčić,hr CRO,DF,Como,23,2000,9,7,630,7.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,08e57960
541,Simon Sohm,ch SUI,MF,Parma,23,2001,37,36,2989,33.2,4,0,4,4,0,0,6,0,0.12,0.00,0.12,0.12,0.12,Matches,a5f458d9
542,Ola Solbakken,no NOR,MFFW,Empoli,25,1998,21,8,760,8.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,78f13530
543,Oumar Solet,fr FRA,DF,Udinese,24,2000,19,19,1672,18.6,1,2,3,1,0,0,3,1,0.05,0.11,0.16,0.05,0.16,Matches,0670ee51
544,Daniele Sommariva,it ITA,GK,Genoa,27,1997,1,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a8e7f7e9
545,Yann Sommer,ch SUI,GK,Inter,35,1988,33,33,2970,33.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,420c18a1
546,Borna Sosa,hr CRO,MFDF,Torino,26,1998,19,14,1181,13.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,af0d79a9
547,Riccardo Sottil,it ITA,MF,Fiorentina,25,1999,18,8,833,9.3,1,1,2,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,Matches,94816803
548,Riccardo Sottil,it ITA,MF,Milan,25,1999,6,1,123,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,94816803
549,Matìas Soulé,ar ARG,MF,Roma,21,2003,27,22,1781,19.8,5,5,10,5,0,0,3,0,0.25,0.25,0.51,0.25,0.51,Matches,c13ddd3e
550,Leonardo Spinazzola,it ITA,DFMF,Napoli,31,1993,27,17,1517,16.9,1,1,2,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,Matches,3626daea
551,Marco Sportiello,it ITA,GK,Milan,32,1992,2,1,126,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ac4003af
552,Filip Stankovic,rs SRB,GK,Venezia,22,2002,16,16,1367,15.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d34d8ed2
553,Petar Stojanović,si SVN,DFMF,Empoli,28,1995,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,13b44b02
554,Gabriel Strefezza,br BRA,MFFW,Como,27,1997,37,32,2619,29.1,6,4,10,6,0,0,5,0,0.21,0.14,0.34,0.21,0.34,Matches,ac4a4508
555,Ibrahim Sulemana,gh GHA,MF,Atalanta,21,2003,9,3,283,3.1,2,0,2,2,0,0,1,0,0.64,0.00,0.64,0.64,0.64,Matches,230c3f3a
556,Tomáš Suslov,sk SVK,MFFW,Hellas Verona,22,2002,31,27,2080,23.1,0,1,1,0,0,0,7,1,0.00,0.04,0.04,0.00,0.04,Matches,83fe71b8
557,Zion Suzuki,jp JPN,GK,Parma,21,2002,37,37,3314,36.8,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,51e1f4f5
558,Marin Šverko,hr CRO,DF,Venezia,26,1998,16,12,1117,12.4,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches,06dba850
559,Mile Svilar,rs SRB,GK,Roma,24,1999,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bcf5058a
560,Michael Svoboda,at AUT,DF,Venezia,25,1998,16,15,1314,14.6,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches,8abd174d
561,Adrien Tameze,cm CMR,MFDF,Torino,30,1994,20,9,649,7.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,8da74c05
562,Mehdi Taremi,ir IRN,FW,Inter,32,1992,26,7,816,9.1,1,2,3,0,1,1,1,0,0.11,0.22,0.33,0.00,0.22,Matches,4c2a5d34
563,Nuno Tavares,pt POR,DF,Lazio,24,2000,23,22,1686,18.7,0,8,8,0,0,0,4,1,0.00,0.43,0.43,0.00,0.43,Matches,a65c844b
564,Loum Tchaouna,fr FRA,MFFW,Lazio,20,2003,24,6,660,7.3,1,0,1,1,0,0,4,1,0.14,0.00,0.14,0.14,0.14,Matches,a3c8b4d3
565,Jackson Tchatchoua,cm CMR,MFDF,Hellas Verona,22,2001,36,36,3167,35.2,2,3,5,2,0,0,7,1,0.06,0.09,0.14,0.06,0.14,Matches,aeca7743
566,Casper Tengstedt,dk DEN,FW,Hellas Verona,24,2000,25,20,1517,16.9,6,1,7,5,1,1,2,0,0.36,0.06,0.42,0.30,0.36,Matches,ff2fb007
567,Filippo Terracciano,it ITA,DFMF,Milan,21,2003,13,6,539,6.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,5cbb5ad6
568,Pietro Terracciano,it ITA,GK,Fiorentina,34,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e1b0a70d
569,Florian Thauvin,fr FRA,FWMF,Udinese,31,1993,25,24,1956,21.7,8,3,11,7,1,3,0,0,0.37,0.14,0.51,0.32,0.46,Matches,2b9fdeea
570,Malick Thiaw,de GER,DF,Milan,22,2001,22,19,1806,20.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,ff5ea0bf
571,Morten Thorsby,no NOR,MF,Genoa,28,1996,30,22,1898,21.1,0,1,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,Matches,d1b49282
572,Khéphren Thuram,fr FRA,MF,Juventus,23,2001,35,26,2326,25.8,4,5,9,4,0,0,5,0,0.15,0.19,0.35,0.15,0.35,Matches,7d9397f8
573,Marcus Thuram,fr FRA,FW,Inter,26,1997,32,27,2290,25.4,14,4,18,14,0,0,1,0,0.55,0.16,0.71,0.55,0.71,Matches,6f8cd6d0
574,Rafael Tolói,it ITA,DF,Atalanta,33,1990,11,2,468,5.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c56dc39e
575,Fikayo Tomori,eng ENG,DF,Milan,26,1997,22,19,1593,17.7,0,1,1,0,0,0,4,1,0.00,0.06,0.06,0.00,0.06,Matches,7edfbb8a
576,Luka Topalović,si SVN,MF,Inter,18,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9a33c016
577,Lorenzo Tosto,it ITA,DF,Empoli,18,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a8c67cdb
578,Souleymane Touré,fr FRA,DF,Udinese,21,2003,12,11,733,8.1,1,0,1,1,0,0,2,2,0.12,0.00,0.12,0.12,0.12,Matches,01fd01e8
579,Stefano Turati,it ITA,GK,Monza,22,2001,30,30,2676,29.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bf168004
580,Kacper Urbanski,pl POL,MF,Bologna,19,2004,7,1,247,2.7,1,0,1,1,0,0,2,0,0.36,0.00,0.36,0.36,0.36,Matches,2d9d9e42
581,Kacper Urbanski,pl POL,MF,Monza,19,2004,8,6,500,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2d9d9e42
